Player Name	Position Name	Max. Goals in Max S% Year	Max. S%
Sergei Priakin	Right Wing	2	11.8
Todd Harkins	Center	2	11.8
Daniel Winnik	Center	2	12.5
Andrej Nedorost	Left Wing	2	12.5
Aris Brimanis	Defender	2	12.5
Brett Maclean	Left Wing	2	12.5
Carl Corazzini	Center	2	12.5
Dmitry Yushkevich	Defender	2	12.5
Dylan Reese	Defender	2	12.5
Eric Weinrich	Defender	2	12.5
Gilles Lupien	Defender	2	12.5
Greg Hawgood	Defender	2	12.5
John Miner	Defender	2	12.5
Kent Huskins	Defender	2	12.5
Pat Murray	Left Wing	2	12.5
Peter Harrold	Defender	2	12.5
Pierre-Cedric Labrie	Left Wing	2	12.5
Scot Kleinendorst	Defender	2	12.5
Stan Neckar	Defender	2	12.5
Steve Richmond	Defender	2	12.5
Steve Wagner	Defender	2	12.5
Tommy Albelin	Defender	2	12.5
Tyler Myers	Defender	2	12.5
Jamie Langenbrunner	Center	2	13.3
Bob Rouse	Defender	2	13.3
Brandon Reid	Center	2	13.3
Casey Wellman	Center	2	13.3
Danny Markov	Defender	2	13.3
Darren Banks	Left Wing	2	13.3
Drew Larman	Center	2	13.3
Frederik Gauthier	Center	2	13.3
Greg Johnston	Right Wing	2	13.3
Iiro Pakarinen	Right Wing	2	13.3
Jiri Novotny	Center	2	13.3
Jiri Slegr	Defender	2	13.3
Larry Keenan	Left Wing	2	13.3
Martin St. Pierre	Center	2	13.3
Nikita Alexeev	Right Wing	2	13.3
Paul Laus	Defender	2	13.3
Phil Russell	Defender	2	13.3
Randy Velischek	Defender	2	13.3
Ryan Pulock	Defender	2	13.3
Steve Dykstra	Defender	2	13.3
Steve Pinizzotto	Right Wing	2	13.3
Tim Sheehy	Right Wing	2	13.3
Tony Virta	Right Wing	2	13.3
Wally Weir	Defender	2	13.3
Warren Babe	Left Wing	2	13.3
Andy Andreoff	Center	2	14.3
Ken Yaremchuk	Center	2	14.3
Brian Ogilvie	Center	2	14.3
Claude Verret	Center	2	14.3
Daniel Lacroix	Left Wing	2	14.3
Danny Syvret	Defender	2	14.3
David Gosselin	Right Wing	2	14.3
Don Biggs	Center	2	14.3
Greg Fox	Defender	2	14.3
Greg McKegg	Center	2	14.3
Guillaume Lefebvre	Left Wing	2	14.3
Hnat Domenichelli	Left Wing	2	14.3
Jay Rosehill	Left Wing	2	14.3
Jim Kyte	Defender	2	14.3
Jimmy Watson	Defender	2	14.3
Korbinian Holzer	Defender	2	14.3
Lou Crawford	Left Wing	2	14.3
Lukas Kaspar	Left Wing	2	14.3
Mathieu Schneider	Defender	2	14.3
Matt D'Agostini	Right Wing	2	14.3
Oliver Lauridsen	Defender	2	14.3
Ralph Klassen	Center	2	14.3
Randy Hillier	Defender	2	14.3
Ryan Carter	Center	2	14.3
Serge Aubin	Left Wing	2	14.3
Tavis Hansen	Center	2	14.3
Tom Fitzgerald	Center	2	14.3
Peter White	Center	2	15.4
Hartland Monahan	Left Wing	2	15.4
Matthew Barnaby	Left Wing	2	15.4
Mike Eagles	Center	2	15.4
Al McDonough	Right Wing	2	15.4
Andre Savage	Center	2	15.4
Bert Robertsson	Defender	2	15.4
Brian Lavender	Left Wing	2	15.4
Calle Jarnkrok	Center	2	15.4
Chris Thorburn	Center	2	15.4
Dave Cressman	Left Wing	2	15.4
Dave Logan	Defender	2	15.4
Eddie Shack	Left Wing	2	15.4
Gary Burns	Center	2	15.4
Igor Ulanov	Defender	2	15.4
Jason Strudwick	Defender	2	15.4
Jeremy Morin	Left Wing	2	15.4
Jiri Hrdina	Center	2	15.4
John Rogers	Right Wing	2	15.4
Matt Fraser	Right Wing	2	15.4
Micheal Haley	Center	2	15.4
Neil Belland	Defender	2	15.4
Normand Baron	Left Wing	2	15.4
Petr Sykora	Right Wing	2	15.4
Roman Lyashenko	Center	2	15.4
Sergei Kharin	Right Wing	2	15.4
Shane Harper	Right Wing	2	15.4
Tim Coulis	Left Wing	2	15.4
Todd Warriner	Left Wing	2	15.4
Uwe Krupp	Defender	2	15.4
Yvon Labre	Defender	2	15.4
Zachary Sanford	Left Wing	2	15.4
John LeClair	Center	2	16.7
Andrei Vasilyev	Left Wing	2	16.7
Bill Stewart	Defender	2	16.7
Cody Bass	Center	2	16.7
Dan Fridgen	Left Wing	2	16.7
David Roberts	Left Wing	2	16.7
Duane Wylie	Center	2	16.7
Eric Brewer	Defender	2	16.7
Fred Perlini	Center	2	16.7
Grant Ledyard	Defender	2	16.7
Guy Leveque	Center	2	16.7
Harry Zolnierczyk	Left Wing	2	16.7
Hunter Shinkaruk	Center	2	16.7
Jaroslav Svoboda	Left Wing	2	16.7
Jeff Toms	Center	2	16.7
Jesse Boulerice	Right Wing	2	16.7
Jim Johnson	Center	2	16.7
John Erskine	Defender	2	16.7
Jukka Hentunen	Left Wing	2	16.7
Justin Mapletoft	Center	2	16.7
Kristian Kudroc	Defender	2	16.7
Kurt Walker	Right Wing	2	16.7
Mike Milbury	Defender	2	16.7
Norm Milley	Right Wing	2	16.7
Randy Cunneyworth	Left Wing	2	16.7
Robert Picard	Defender	2	16.7
Shawn Cronin	Defender	2	16.7
Spencer Machacek	Right Wing	2	16.7
Stefan Noesen	Right Wing	2	16.7
Steve Graves	Center	2	16.7
Steve Nemeth	Center	2	16.7
Steven Kampfer	Defender	2	16.7
Sven Andrighetto	Right Wing	2	16.7
Ron Wilson	Defender	2	18.2
Alexandre Giroux	Center	2	18.2
Andre Roy	Left Wing	2	18.2
Andreas Johansson	Left Wing	2	18.2
Brian Glennie	Defender	2	18.2
Charlie Bourgeois	Defender	2	18.2
Cory Cross	Defender	2	18.2
Davis Drewiske	Defender	2	18.2
Dominic Moore	Center	2	18.2
Don O'Donoghue	Right Wing	2	18.2
Erik Andersson	Center	2	18.2
Gilbert Brule	Center	2	18.2
James Sheppard	Center	2	18.2
Jaroslav Pouzar	Left Wing	2	18.2
Jason Jaffray	Right Wing	2	18.2
Jim Jackson	Left Wing	2	18.2
Jon Matsumoto	Center	2	18.2
Kari Makkonen	Right Wing	2	18.2
Keith Jones	Right Wing	2	18.2
Kevin Sawyer	Left Wing	2	18.2
Mariusz Czerkawski	Right Wing	2	18.2
Martin Gendron	Right Wing	2	18.2
Mike McNeill	Center	2	18.2
Mike Millar	Right Wing	2	18.2
Mike Walsh	Left Wing	2	18.2
Ron Stewart	Right Wing	2	18.2
Tomas Vincour	Center	2	18.2
Benoit Pouliot	Left Wing	2	20
Bob Stephenson	Right Wing	2	20
Branislav Mezei	Defender	2	20
Bruce Gardiner	Right Wing	2	20
Bryan Bickell	Left Wing	2	20
Daniel Shank	Right Wing	2	20
Doug Gibson	Center	2	20
Fred Ahern	Right Wing	2	20
Graeme Townshend	Right Wing	2	20
Howie Menard	Center	2	20
James Black	Center	2	20
Joe Motzko	Right Wing	2	20
John Lilley	Center	2	20
Juraj Kolnik	Right Wing	2	20
Ken Gernander	Right Wing	2	20
Konstantin Pushkarev	Right Wing	2	20
Mark Kolesar	Right Wing	2	20
Mark Paterson	Defender	2	20
Mats Zuccarello	Left Wing	2	20
Mikael Lindholm	Center	2	20
Mike Dwyer	Left Wing	2	20
Paul MacKinnon	Defender	2	20
Robert Bortuzzo	Defender	2	20
Rostislav Klesla	Defender	2	20
Steve Alley	Left Wing	2	20
Todd Bertuzzi	Right Wing	2	20
Yanick Dupre	Left Wing	2	20
Zdeno Ciger	Left Wing	2	20
Troy Stecher	Defender	3	2.4
Jesse Winchester	Right Wing	3	2.6
Jimmie Olvestad	Right Wing	3	3
Timo Meier	Right Wing	3	3.5
Brandon Manning	Defender	3	3.6
Joel Edmundson	Defender	3	3.7
Dave Snuggerud	Left Wing	3	4
Terry Murray	Defender	3	4
Konstantin Koltsov	Left Wing	3	4.2
Craig Weller	Right Wing	3	4.2
Mark Fusco	Defender	3	4.3
Matt Benning	Defender	3	4.3
Ryan McGill	Defender	3	4.4
Roger Belanger	Right Wing	3	4.6
Howie Young	Defender	3	4.7
Martin Hostak	Center	3	4.7
Wayne Muloin	Defender	3	4.7
Dennis Everberg	Right Wing	3	4.8
Larry Hale	Defender	3	4.8
Benoit Brunet	Right Wing	3	4.9
Mike Hoffman	Center	3	4.9
Ben Lovejoy	Defender	3	5
Dylan Olsen	Defender	3	5
Mike McKee	Left Wing	3	5
Nate Schmidt	Defender	3	5
Rick Wilson	Defender	3	5
Steve Stoyanovich	Center	3	5
Gilles Marotte	Defender	3	5.1
Ryan Stanton	Defender	3	5.1
David Rundblad	Defender	3	5.2
Garry Lariviere	Defender	3	5.2
Miles Zaharko	Defender	3	5.2
Kris King	Right Wing	3	5.3
Dan Bylsma	Center	3	5.3
Christoph Schubert	Left Wing	3	5.3
Adam Bennett	Defender	3	5.3
Esa Pirnes	Center	3	5.3
Danton Cole	Left Wing	3	5.4
Chris Butler	Defender	3	5.6
Brian Engblom	Defender	3	5.7
Chris Therien	Defender	3	5.7
Josef Melichar	Defender	3	5.7
Stephane Veilleux	Right Wing	3	5.8
Barry Wilcox	Right Wing	3	5.8
Bryan Watson	Defender	3	5.8
Eric Tangradi	Left Wing	3	5.8
Brad Richardson	Center	3	5.9
Jon Rohloff	Defender	3	5.9
Miroslav Dvorak	Defender	3	5.9
Neil Nicholson	Defender	3	5.9
Mikael Samuelsson	Center	3	6
Dale Purinton	Defender	3	6
Bill Mikkelson	Defender	3	6.1
Petr Prajsler	Defender	3	6.1
Sheldon Brookbank	Defender	3	6.1
Petr Buzek	Defender	3	6.3
Pierre Pilote*	Defender	3	6.3
Matt Ellison	Right Wing	3	6.4
Nolan Pratt	Defender	3	6.4
Shane Hnidy	Defender	3	6.4
Gustav Nyquist	Left Wing	3	6.5
Jeff Daniels	Right Wing	3	6.5
Patrice Tardif	Right Wing	3	6.5
Alexei Smirnov	Left Wing	3	6.5
Chris Luongo	Defender	3	6.5
Larry Wright	Right Wing	3	6.5
Nikita Nesterov	Defender	3	6.5
Ryan Wilson	Defender	3	6.5
John Marks	Defender	3	6.7
Steve Staios	Right Wing	3	6.7
Alain Langlais	Left Wing	3	6.7
Carl Gunnarsson	Defender	3	6.7
Michal Sivek	Center	3	6.7
Shawn Heins	Defender	3	6.7
Bill Baker	Defender	3	6.8
Mark Ferner	Defender	3	6.8
Dan Bylsma	Left Wing	3	7
Scott Daniels	Left Wing	3	7
Paul Healey	Left Wing	3	7
Bob Plager	Defender	3	7
Claude Houde	Defender	3	7
Don McSween	Defender	3	7
Bobby Lalonde	Left Wing	3	7.1
Chris Ferraro	Left Wing	3	7.1
Dwight Bialowas	Defender	3	7.1
Jim Neilson	Defender	3	7.1
Jonathan Girard	Defender	3	7.1
Mike Lundin	Defender	3	7.1
Kevin Dallman	Defender	3	7.3
Larry Bolonchuk	Defender	3	7.3
Mark Wotton	Defender	3	7.3
Mike Berger	Defender	3	7.3
Theo Peckham	Defender	3	7.3
Vitaly Vishnevski	Defender	3	7.3
Bob Bassen	Left Wing	3	7.5
Adam Erne	Left Wing	3	7.5
Adam Pelech	Defender	3	7.5
Anton Stralman	Defender	3	7.5
Brian Strait	Defender	3	7.5
Denis Gauthier	Defender	3	7.5
Trevor Johansen	Defender	3	7.5
Bart Crashley	Defender	3	7.7
Bryan Lefley	Defender	3	7.7
Gord Hynes	Defender	3	7.7
Travis Brigley	Left Wing	3	7.7
Earl Heiskala	Left Wing	3	7.9
Jakub Klepis	Center	3	7.9
Jeff Finley	Defender	3	7.9
Matt Taormina	Defender	3	7.9
Ron Plumb	Defender	3	7.9
Perry Berezan	Right Wing	3	8.1
Bracken Kearns	Left Wing	3	8.1
David Ling	Right Wing	3	8.1
Greg Brown	Defender	3	8.1
Larry Goodenough	Defender	3	8.1
Sylvain Blouin	Left Wing	3	8.1
Per Svartvadet	Left Wing	3	8.3
D.J. King	Left Wing	3	8.3
Erik Gustafsson	Defender	3	8.3
Jack McIlhargey	Defender	3	8.3
Jiri Fischer	Defender	3	8.3
Joel Lundqvist	Center	3	8.3
Tony Feltrin	Defender	3	8.3
Viacheslav Fetisov*	Defender	3	8.3
Mats Lindgren	Left Wing	3	8.6
Zach Boychuk	Left Wing	3	8.6
Don Sweeney	Defender	3	8.6
George Pesut	Defender	3	8.6
Ivan Majesky	Defender	3	8.6
Jody Shelley	Left Wing	3	8.6
Paul Ranheim	Right Wing	3	8.8
Peter Ferraro	Right Wing	3	8.8
Jonathan Ericsson	Defender	3	8.8
Lance Ward	Defender	3	8.8
Michael Ryan	Center	3	8.8
Ab DeMarco	Defender	3	9.1
Alexei Emelin	Defender	3	9.1
Braydon Coburn	Defender	3	9.1
Garth Rizzuto	Center	3	9.1
Harry Howell*	Defender	3	9.1
Pavel Trnka	Defender	3	9.1
Simon Gamache	Right Wing	3	9.4
Mike Hudson	Right Wing	3	9.4
Krzysztof Oliwa	Left Wing	3	9.4
Corey Tropp	Right Wing	3	9.4
Jakub Vrana	Left Wing	3	9.4
Jeff Giuliano	Left Wing	3	9.4
Peter Worrell	Left Wing	3	9.4
Stephane Da Costa	Right Wing	3	9.7
Ted Drury	Left Wing	3	9.7
Rico Fata	Right Wing	3	9.7
Bill Root	Defender	3	9.7
Brooks Orpik	Defender	3	9.7
Gordon Mark	Defender	3	9.7
Normand Leveille	Left Wing	3	9.7
Jeff Hamilton	Right Wing	3	10
Dave Roche	Center	3	10
Alex McKendry	Left Wing	3	10
Alexander Godynyuk	Defender	3	10
Ben Simon	Center	3	10
Dan Bourbonnais	Left Wing	3	10
Helmut Balderis	Right Wing	3	10
J.T. Compher	Left Wing	3	10
Joe Micheletti	Defender	3	10
Justin Kurtz	Defender	3	10
Karlis Skrastins	Defender	3	10
Mark Flood	Defender	3	10
Nicklas Jensen	Left Wing	3	10
Normand Rochefort	Defender	3	10
Ruslan Salei	Defender	3	10
Tracy Pratt	Defender	3	10
John Paddock	Left Wing	3	10.3
Herb Raglan	Left Wing	3	10.3
Bill Houlder	Defender	3	10.3
Brad Marsh	Defender	3	10.3
Brad Maxwell	Defender	3	10.3
Craig Redmond	Defender	3	10.3
Garth Butcher	Defender	3	10.3
Mike Sislo	Right Wing	3	10.3
Paul Healey	Right Wing	3	10.3
Rich Clune	Left Wing	3	10.3
Rocco Grimaldi	Center	3	10.3
Johan Garpenlov	Right Wing	3	10.7
Sandy Moger	Center	3	10.7
Bryan Muir	Defender	3	10.7
Jack Hillen	Defender	3	10.7
Rick Vasko	Defender	3	10.7
Shea Theodore	Defender	3	10.7
Cory Conacher	Center	3	11.1
Bubba Berenzweig	Defender	3	11.1
Glen Richardson	Left Wing	3	11.1
Jamie Allison	Defender	3	11.1
Jim Pavese	Defender	3	11.1
Michael Bournival	Left Wing	3	11.1
Michael Dark	Right Wing	3	11.1
Scott Ferguson	Defender	3	11.1
Tuomo Ruutu	Right Wing	3	11.5
Antti Miettinen	Right Wing	3	11.5
Gary Nylund	Defender	3	11.5
Lance Pitlick	Defender	3	11.5
Oleg Tverdovsky	Defender	3	11.5
Patrick Rissmiller	Center	3	11.5
Sandy Fitzpatrick	Center	3	11.5
Shane Prince	Left Wing	3	11.5
Stephane Veilleux	Left Wing	3	11.5
Timofei Shishkanov	Right Wing	3	11.5
Ralph Klassen	Left Wing	3	12
Andreas Karlsson	Center	3	12
Brock McGinn	Left Wing	3	12
Clark Donatelli	Left Wing	3	12
Fredrik Claesson	Defender	3	12
Joakim Lindstrom	Center	3	12
Paul Bissonnette	Left Wing	3	12
Peter Taglianetti	Defender	3	12
Randy Ladouceur	Defender	3	12
Reggie Savage	Left Wing	3	12
Ted Snell	Right Wing	3	12
Mike Hartman	Left Wing	3	12.5
Al Conroy	Center	3	12.5
Brad Bombardir	Defender	3	12.5
Brian Kilrea*	Center	3	12.5
Cam Severson	Left Wing	3	12.5
Carter Rowney	Right Wing	3	12.5
Jean-Marc Gaulin	Left Wing	3	12.5
Jim Vandermeer	Defender	3	12.5
John Wright	Center	3	12.5
Joseph Blandisi	Left Wing	3	12.5
Linus Omark	Left Wing	3	12.5
Michal Rozsival	Defender	3	12.5
Patrice Bergeron	Center	3	12.5
Phillip Danault	Center	3	12.5
Viktor Gordiouk	Right Wing	3	12.5
Michal Grosek	Right Wing	3	13
Rob Klinkhammer	Center	3	13
Aaron Johnson	Defender	3	13
Bob Cook	Right Wing	3	13
Craig Norwich	Defender	3	13
David Cooper	Defender	3	13
Eddy Godin	Right Wing	3	13
Jari Gronstrand	Defender	3	13
Jarkko Ruutu	Left Wing	3	13
Jarret Stoll	Center	3	13
Jeff Petry	Defender	3	13
Lennart Petrell	Center	3	13
Martin Skoula	Defender	3	13
Peter Eriksson	Left Wing	3	13
Randy Wyrozub	Center	3	13
Richard Zednik	Right Wing	3	13
Ryan Dzingel	Left Wing	3	13
Steve Staios	Defender	3	13
Dave Donnelly	Left Wing	3	13.6
Aaron Voros	Left Wing	3	13.6
Clay Wilson	Defender	3	13.6
Daniel Carcillo	Left Wing	3	13.6
David Hale	Defender	3	13.6
Evgeny Kuznetsov	Center	3	13.6
Gary Doak	Defender	3	13.6
Gordie Roberts	Defender	3	13.6
James Patrick	Defender	3	13.6
Jeff Ulmer	Right Wing	3	13.6
Jim McGeough	Center	3	13.6
Jim Wiemer	Defender	3	13.6
Jimmy Mann	Right Wing	3	13.6
Karel Pilar	Defender	3	13.6
Marty Murray	Center	3	13.6
Mike Weaver	Defender	3	13.6
Tomas Kurka	Left Wing	3	13.6
Vitali Karamnov	Right Wing	3	13.6
Scott Bjugstad	Right Wing	3	14.3
Brad Lauer	Left Wing	3	14.3
Todd Fedoruk	Left Wing	3	14.3
Jerry Butler	Right Wing	3	14.3
Steve Graves	Left Wing	3	14.3
Alexandre Picard	Defender	3	14.3
Ben Eager	Left Wing	3	14.3
Bill Orban	Left Wing	3	14.3
Brian Conacher	Left Wing	3	14.3
Bruno Gervais	Defender	3	14.3
Dominic Lavoie	Defender	3	14.3
Jim Schoenfeld	Defender	3	14.3
Joey Tetarenko	Defender	3	14.3
Kevyn Adams	Center	3	14.3
Patrice Tardif	Center	3	14.3
Randy Gilhen	Center	3	14.3
Sylvain Couturier	Center	3	14.3
Teemu Hartikainen	Left Wing	3	14.3
Wyatt Smith	Center	3	14.3
Zarley Zalapski	Defender	3	14.3
Fred Knipscheer	Left Wing	3	15
Frazer McLaren	Left Wing	3	15
Jason Zent	Left Wing	3	15
Jeff Bloemberg	Defender	3	15
Marcel Hossa	Left Wing	3	15
Pierre Dagenais	Right Wing	3	15
Ryan Vesce	Right Wing	3	15
Stephane Da Costa	Center	3	15
Sylvain Cote	Defender	3	15
Jim Nill	Left Wing	3	15.8
Mike Krushelnyski	Center	3	15.8
Marty McInnis	Center	3	15.8
Craig Johnson	Left Wing	3	15.8
Tom Chorske	Right Wing	3	15.8
Bob Corkum	Center	3	15.8
Brad DeFauw	Left Wing	3	15.8
Brad Norton	Defender	3	15.8
Colin Stuart	Left Wing	3	15.8
Dale Kushner	Left Wing	3	15.8
Gemel Smith	Center	3	15.8
John Scott	Left Wing	3	15.8
Ken Quinney	Right Wing	3	15.8
Matt Ravlich	Defender	3	15.8
Mike Hartman	Right Wing	3	15.8
Rob Schremp	Center	3	15.8
Roman Simicek	Center	3	15.8
Tyler Arnason	Center	3	15.8
Barry Potomski	Left Wing	3	16.7
Brian McGrattan	Right Wing	3	16.7
Dan Cleary	Left Wing	3	16.7
David Clarkson	Right Wing	3	16.7
Jack Egers	Left Wing	3	16.7
Jack Egers	Right Wing	3	16.7
Jamie McBain	Defender	3	16.7
Jeff Taffe	Center	3	16.7
John Paul Kelly	Left Wing	3	16.7
Jonathon Blum	Defender	3	16.7
Ken Klee	Defender	3	16.7
Mike McEwen	Defender	3	16.7
Milan Marcetta	Center	3	16.7
Pat Falloon	Right Wing	3	16.7
Paul Guay	Right Wing	3	16.7
Shane Churla	Right Wing	3	16.7
Will Acton	Center	3	16.7
Alan Kerr	Right Wing	3	17.6
Christian Berglund	Right Wing	3	17.6
Eric O'Dell	Center	3	17.6
John Pohl	Right Wing	3	17.6
Peter White	Left Wing	3	17.6
Rob Whistle	Defender	3	17.6
Sandis Ozolinsh	Defender	3	17.6
Zdenek Blatny	Left Wing	3	17.6
Lucien DeBlois	Left Wing	3	18.8
Gary Rissling	Defender	3	18.8
Brad Malone	Center	3	18.8
Brad Smyth	Right Wing	3	18.8
Clarke MacArthur	Left Wing	3	18.8
Dan Newman	Left Wing	3	18.8
Dave Morrison	Right Wing	3	18.8
Doug Crossman	Defender	3	18.8
Everett Sanipass	Left Wing	3	18.8
Gary Shuchuk	Center	3	18.8
Jeff Brown	Defender	3	18.8
Jeff Heerema	Right Wing	3	18.8
Kevin Todd	Center	3	18.8
Kirk Muller	Center	3	18.8
Mark Osborne	Left Wing	3	18.8
Nicholas Baptiste	Right Wing	3	18.8
Peter Scamurra	Defender	3	18.8
Rick Rypien	Center	3	18.8
Scott Thomas	Left Wing	3	18.8
Steve Tuttle	Right Wing	3	18.8
Ted Donato	Left Wing	3	18.8
Tom Cassidy	Center	3	18.8
Tom Songin	Right Wing	3	18.8
Yvon Vautour	Right Wing	3	18.8
Ryan Walter	Center	3	20
Alexander Sulzer	Defender	3	20
Brian McCutcheon	Left Wing	3	20
Dennis O'Brien	Defender	3	20
Derek Smith	Center	3	20
Ed Patterson	Right Wing	3	20
Eric Chouinard	Right Wing	3	20
Fred Knipscheer	Center	3	20
Joel Eriksson Ek	Left Wing	3	20
Josef Beranek	Left Wing	3	20
Pavol Demitra	Right Wing	3	20
Ron Zanussi	Right Wing	3	20
Sean Avery	Center	3	20
Xavier Delisle	Center	3	20
Zac Rinaldo	Center	3	20
Bengt Lundholm	Right Wing	3	21.4
Boris Mironov	Defender	3	21.4
Brett Sterling	Left Wing	3	21.4
Keith Acton	Center	3	21.4
Mark Greig	Right Wing	3	21.4
Mike Blunden	Right Wing	3	21.4
Myles O'Connor	Defender	3	21.4
Patrik Juhlin	Right Wing	3	21.4
T.J. Galiardi	Left Wing	3	21.4
Ace Bailey	Left Wing	3	23.1
Craig Berube	Left Wing	3	23.1
Danny Lawson	Right Wing	3	23.1
Doug Gilmour*	Center	3	23.1
Hubie McDonough	Center	3	23.1
J.J. Daigneault	Defender	3	23.1
Jani Rita	Left Wing	3	23.1
Jim Dowd	Center	3	23.1
Larry Skinner	Center	3	23.1
Lonny Bohonos	Right Wing	3	23.1
Paul Byron	Center	3	23.1
Paul MacDermid	Right Wing	3	23.1
Perry Berezan	Center	3	23.1
Richard David	Left Wing	3	23.1
Russell Romaniuk	Left Wing	3	23.1
Todd Ewen	Right Wing	3	23.1
Pat Verbeek	Center	3	25
Aki Berg	Defender	3	25
Bob Kudelski	Right Wing	3	25
Bob Probert	Left Wing	3	25
Chuck Arnason	Right Wing	3	25
Dale Weise	Right Wing	3	25
Daryl Stanley	Defender	3	25
Doug Smith	Center	3	25
Jean-Francois Quintin	Center	3	25
Krys Barch	Right Wing	3	25
Lynn Loyns	Left Wing	3	25
Paul Kruse	Left Wing	3	25
Radek Martinek	Defender	3	25
Reto Von Arx	Left Wing	3	25
Ron Francis*	Center	3	25
Ron Greschner	Defender	3	25
Aaron Gagnon	Center	3	27.3
Cam Janssen	Right Wing	3	27.3
Ed Hospodar	Defender	3	27.3
Jaroslav Otevrel	Center	3	27.3
Jesse Belanger	Center	3	27.3
Josh Archibald	Right Wing	3	27.3
Kevin Miller	Right Wing	3	27.3
Mark Napier	Right Wing	3	27.3
Matt Carle	Defender	3	27.3
Sergei Varlamov	Right Wing	3	27.3
Steve Regier	Left Wing	3	27.3
Tyler Johnson	Center	3	27.3
Alexei Yegorov	Right Wing	3	30
Christian Fischer	Right Wing	3	30
Jason Ward	Right Wing	3	30
Jeff Parker	Center	3	30
Nikolay Goldobin	Right Wing	3	30
Stu Grimson	Left Wing	3	30
Tim Wallace	Right Wing	3	30
Tyler Kennedy	Right Wing	4	2.8
Doug Roberts	Defender	4	3.1
Nathan Beaulieu	Defender	4	3.4
Erik Gudbranson	Defender	4	3.6
Robert Palmer	Defender	4	3.6
Dave Langevin	Defender	4	3.7
Noah Hanifin	Defender	4	3.7
Nikita Zaitsev	Defender	4	3.8
Noel Price	Defender	4	4
Bruce Affleck	Defender	4	4.2
Dave Amadio	Defender	4	4.3
Mark Suzor	Defender	4	4.5
Bob McCord	Defender	4	4.7
Brett Pesce	Defender	4	4.7
Dusan Pasek	Right Wing	4	4.7
James Sheppard	Left Wing	4	4.8
Bill Masterton	Center	4	4.8
Josh Jooris	Center	4	5
Drayson Bowman	Left Wing	4	5
Rick Ley	Defender	4	5.1
Dave Farrish	Defender	4	5.2
Mark Fayne	Defender	4	5.2
Toni Lydman	Defender	4	5.2
Allan Stanley*	Defender	4	5.3
Mike Komisarek	Defender	4	5.3
Jerred Smithson	Right Wing	4	5.4
Ted McAneeley	Defender	4	5.4
Norm Barnes	Defender	4	5.5
Evgeny Medvedev	Defender	4	5.6
Len Frig	Defender	4	5.6
Duane Sutter	Center	4	5.7
Shane O'Brien	Defender	4	5.8
Barclay Goodrow	Right Wing	4	5.9
Mike Mottau	Defender	4	5.9
Ricard Persson	Defender	4	5.9
Tommy Westlund	Right Wing	4	6
Aut Erickson	Defender	4	6.1
Vladimir Vujtek	Center	4	6.1
Ian Moran	Right Wing	4	6.2
Shawn Thornton	Left Wing	4	6.2
Andrej Sustr	Defender	4	6.2
Denis Pederson	Right Wing	4	6.3
Josh Gorges	Defender	4	6.3
Kevin Morrison	Defender	4	6.3
Patrick Wiercioch	Defender	4	6.3
Bert Marshall	Defender	4	6.5
Jake McCabe	Defender	4	6.5
Dan Plante	Right Wing	4	6.6
Dennis Kearns	Defender	4	6.6
Mathieu Biron	Defender	4	6.6
Ryan Murphy	Defender	4	6.6
Larry Johnston	Defender	4	6.8
Nick Jensen	Defender	4	6.8
Trent McCleary	Right Wing	4	6.9
Andreas Salomonsson	Left Wing	4	6.9
Marc Methot	Defender	4	6.9
Drew Bannister	Defender	4	7
Nick Lappin	Right Wing	4	7
Dan Girardi	Defender	4	7.1
Fedor Tyutin	Defender	4	7.1
Dan Kesa	Center	4	7.3
Anton Slepyshev	Left Wing	4	7.3
Craig Ludwig	Defender	4	7.3
Dick Mattiussi	Defender	4	7.3
Greg Zanon	Defender	4	7.4
Mathias Johansson	Center	4	7.4
Roman Vopat	Center	4	7.4
Brett Hauer	Defender	4	7.5
Mike Weber	Defender	4	7.5
Rod Buskas	Defender	4	7.5
Wayne Rivers	Right Wing	4	7.5
Tomas Fleischmann	Center	4	7.7
Andreas Martinsen	Left Wing	4	7.7
Brett Harkins	Left Wing	4	7.7
Ian Cole	Defender	4	7.7
Keith Brown	Defender	4	7.7
Micah Aivazoff	Left Wing	4	7.7
Mike Wilson	Defender	4	7.7
Stephane Quintal	Defender	4	7.7
Evan Rodrigues	Left Wing	4	7.8
Rob Tudor	Right Wing	4	7.8
Claude Larose	Left Wing	4	8
Dave Schultz	Right Wing	4	8
Arnie Brown	Defender	4	8
Christoph Brandner	Right Wing	4	8
Mark Botell	Defender	4	8
Miloslav Horava	Defender	4	8
Bob Blackburn	Defender	4	8.2
Luke Richardson	Defender	4	8.2
Yves Racine	Defender	4	8.2
Keith Crowder	Center	4	8.3
Brad Isbister	Right Wing	4	8.3
Chris Evans	Defender	4	8.3
Hannes Hyvonen	Right Wing	4	8.3
Oscar Klefbom	Defender	4	8.3
Igor Radulov	Right Wing	4	8.5
Nikita Alexeev	Left Wing	4	8.5
Tomas Surovy	Center	4	8.5
Andrew Ference	Defender	4	8.5
David Schlemko	Defender	4	8.5
Nick Schultz	Defender	4	8.5
Mike Kitchen	Defender	4	8.7
Patrick Leahy	Left Wing	4	8.7
Paul Nicholson	Left Wing	4	8.7
Tyler Motte	Left Wing	4	8.7
Mike Peluso	Right Wing	4	8.9
