age,position,avg_plus_minus,avg_goals,avg_shotpct,avg_shot,record_count
39,Center,-2.333333333,10.92592593,11.7037037,90.25925926,27
39,Defender,0.684210526,3.526315789,4.173684211,78.86842105,38
39,Left Wing,1.1,16,10.44,142.8,10
39,Right Wing,-1.304347826,13.86956522,12.3826087,113.4347826,23
40,Center,-4.133333333,9.466666667,15.06,69.93333333,15
40,Defender,3.944444444,3.277777778,4.622222222,71.05555556,18
40,Left Wing,4.571428571,15.57142857,16.24285714,94.71428571,7
40,Right Wing,-0.928571429,13.35714286,13.5,104.7857143,14
41,Center,-9.25,7,11.975,58.75,4
41,Defender,0.857142857,2.571428571,2.171428571,76.28571429,7
41,Left Wing,-5.333333333,6.666666667,12,56.16666667,6
41,Right Wing,8.8,23.4,11.62,202.4,5
42,Defender,4.333333333,2.666666667,3.166666667,90.66666667,3
42,Left Wing,-8.666666667,5,10.16666667,53.33333333,3
42,Right Wing,-0.4,13.2,11.22,118.4,5
43,Right Wing,8.666666667,12,9,90.33333333,3
